ISBN,title,author,yop,publisher
9789386768049,Air Breathing Engines Husain,HUSAIN,2017,IK
9789385909429,Understanding Creo Parametric Kumar,KUMAR,2017,IK
9780470065631,Understanding Aerospace Chemicl Mukunda,MUKUNDA,2017,IK
9780750686952,Gas Turbine Propulsion Systems Maclsaac,MACLSAAC,2017,WILEY
9788126573943,Aircraft Electrical & Electronic Tooley,TOOLEY,2017,ROUTLEDGE
9781119233404,Phased Array Antennas Hansen,HANSEN,2017,WILEY
9788126568482,Flight Theory & Aerodynamics Dole,DOLE,2017,WILEY
9781107576599,Unmanned Aircraft Systems Austin,AUSTIN,2017,WILEY
9789352533675,Introduction To Aircraft Design Fieldin,FIELDING,2017,CAMBRIDGE
9788184954999,Mechatronics Systems Design,SHETTY,2016,CENGAGE
9789388423205,100 Great Inspiring Stories,XAVIER,2016,JAICO
9788184954081,Dare To Win,CHEGWIN,2016,JAICO
9788179926987,The Mastery Manual,ROBIN SHARMA,2016,JAICO
9788174785893,50 Magnificent Indians Of The 20th Centu,LAL,2016,JAICO
9788183228053,Nobel Laureates,SRINIVASAN,2016,SURA
9788174786319,How To Think Like Stephen Hawking,DANIEL SMITH,2016,MANJUL
9780141030906,100 Mini Sketches Of The The Great,VINITA,2016,SURA
9788179925829,Physics Of The Impossible,MICHIO KAKU,2016,PENGUIN
9789385854637,75 People Who Change The World,RIFKIN,2016,JAICO
9789386867889,Tales From The History Of Mathematics,SARAT,2016,JAICO
9788184957105,The Book Of Amazing Stories,PETTERSON,2016,JAICO
8192395502,The Science Of Success,NAPOLEO HILL,2016,JAICO
8192395502,Mokshagundam Visveswaraiah,NARAYANARAO,2016,ANKITA
9781784398637,Mankutimmana Kagga - Tatvparya,D V G,2016,KRIKANT
9780080969985,Advanced Machine Learning With Python,HEARTY,2016,PACKT
9789386668004,A Practical Approach To Motor Vehicle En,BONNICK,2016,ROUTLEDGE
9789386858146,Python Programming The Absolute Beginee,DAWSON,2016,CENGAGE
9789386668431,Image Processing Analysis & Machine Vis,SONKA,2016,CENGAGE
9789386768131,Digital Image Processing With,SINGH,2016,CENGAGE
9789380578231,Electronic Measurement & Instrumentatio,IMAM,2016,IK
9789381141472,Lasers & Optical Instrumentation,NAGABUSAN,2016,IK
9789382332190,Biomedical Electronics & Instru Sawheny,SAWHENY,2016,IK
9789382332312,Biosensors & Bioelectronics Reddy,D REDDY,2016,IK
9789385909283,Computer Techniques And Models Uma Rao,UMA RAO,2016,IK
9781498745369,Basic Electrical Engineering Uma Rao,UMA RAO,2016,IK
9781138615342,Power Systems Handbook 4 Vol Set,DAS,2016,CRC
9781138569522,Wind Energy Nelson,NELSON,2016,CRC
9788131526156,Protective Relaying Blackburn,BLACKBURN,2016,CRC
9788131533215,Fundaemtnals Of Logic Design Roth,ROTH,2016,CENGAGE
9788131530788,Network Analysis Venkatesh,VENKATESH,2016,CENGAGE
9781118381359,Power Electronics Ambram,AMBRAM,2016,CENGAGE
9789382332053,Switching In Electrical Transmis Smeets,SMEETS,2016,WILEY
9789384588359,Analysis Design Of Foundations Saran,SWAMI SARAN,2016,IK
9789382332657,Advanced Guide To Matlab Alam,ALAM,2016,IK
9789384588328,Highway Material Testing & Quality Rao,VENKATAPPA RAO,2016,IK
9789384588748,Strength & Deformation Of Determ Kumar,KUMAR,2016,IK
9788126574155,Fine Tuning Of Road & Building Das,DAS,2016,IK
9789385909092,Introduction To Soil Mechanics Bodo,BODO,2016,WILEY BLACKWEL
9781138106871,Surveying & Levelling Vol 2 Bhavikatti,BHAVIKATTI,2016,IK
9789385909573,Concrete Buildings In Seismic Penelis,PENELIS,2016,CRC
9789385909082,Basic Structural Analysis Muthu,MUTHU,2016,IK
9789384588618,Surveying Theory & Practice Bhavikatti,BHAVIKATTI,2016,IK
9789384588670,Foundation Engineering Khitoliya,KHITOLIYA,2016,IK
9781138893764,Concrete Technology Bhavikatti,BHAVIKATTI,2016,IK
9780849334993,Highway Engineering Nikolaides,NIKOLAIDES,2016,CRC
9789382332602,Soil Sampling Prepatation Tan,TAN,2016,CRC
9789385909801,Indeterminate Structural Anlysis Muthu,MUTHU,2016,IK
9780815381501,Reliability Based Analysis & Des Devaraj,DEVARAJ V,2016,IK
9789381141441,Matrix Methods Of Structural Nagarajan,NAGARAJAN,2016,CRC
9781439886588,Manual For Detailing Of Steel Strucures,KANTHIMATHINATAHN,2016,IK
9781316509937,Advanced Energy Systems Khartchenko,KHARTCHENKO,2016,CRC
9788131518298,Fatigue Of Materials Suresh,SURESH,2016,CAMBRIDGE
9788131520475,Engineering Mechanics Harbola,HARBOLA,2016,CENGAGE
9781138044869,Design Of Fuide Thermal Systems Jonna,JONNA,2016,CENGAGE
9789384588106,Computational Methods For Heat Majumdar,MAJUMDAR,2016,CRC
9788188237968,Analysis & Design Of Machine Jadon,JADON,2016,IK
9789387511491,Bond Graph In Modeling Simu Mukherjee,MUKHERJEE,2016,IK
9788131518281,Computer Graphics With Open Gl Raikar,RAIKAR,2016,CENGAGE
9789385909337,Mechatronics Systems Design Shetty,SHETTY,2016,CENGAGE
9789385909269,Pneumatic & Hydraulic Systems Singh,SINGH,2016,IK
9788121928595,Working With Ansys Zindani,ZINDANI,2016,IK
9788121901314,A Textbook Of Mechatronics Rajput,RAJPUT,2017,S CHAND
9788131517307,Highway Engineering Sharma,SHARMA,2017,S CHAND
9788126552313,Finite Element Analysis Logan,LOGAN,2017,CENGAGE
9789388005029,Deformation & Fracture Mechani Hertzber,HERTZBERG,2017,WILEY
9788126535576,Strength Of Materials Vol 1 Binu Kumar,BINU KUMAR,2017,YES DEE
9789380381497,Beginning Android 4 Application Dev Lee,LEE,2017,WROX
9789386768032,Jet Engines Jaganathan,JAGANATHAN,2017,YES DEE
9789386668516,Engineering Chemistry Savita Garg,SAVITA GARG,2017,IK
9789380381305,Finite Automata & Formal Languages Redd,REDDY,2017,CENGAGE
9788177584011,Microwave & Rf Design Steer,STEER,2017,YES DEE
978938031503,Radio Frequency & Microwave Radmanesh,RADMANESH,2017,PEARSON
9789386650375,Higher Engineering Mathematics Veeraraja,VEERARAJAN,2017,YES DEE
9789387994232,Digital Systems Design Using Verilog Rot,ROTH,2017,CENGAGE
9789351449652,Principles Of Information Security Whitm,WHITMAN,2017,CENGAGE
9788131510995,Objective Mechanical Engineering Mithal,MITHAL,2017,GK
9789353500504,Artificial Intelligence Kaushik,KAUSHIK,2017,CENGAGE
9789380026671,Technical Communicaton Chauhan,CHAUHAN,2017,CENGAGE
9788190656603,Vlsi Design Lal Kishore,LAL KISHORE,2017,IK
9789380026404,Engineering Maths Vol 2 Shankar Rao,SHANKAR RAO,2017,IK
9789325982390,Operations Research Veerachamy,VEERACHAMY,2017,IK
9789380381718,Research Methodology Chawla,CHAWLA,2017,VIKAS
9788126512904,Compiler Design Winster,WINSTER,2017,YES DEE
9788131524732,Web Programing Bates,BATES,2017,WILEY
9789381141878,Environmental Science Miller,MILLER,2017,CENGAGE
9789381141366,Advanced Mathematics Vol 2 Mujawar,MUJAWAR,2017,IK
9789381141687,Engineering Mathematics Vol 3 Mujawar,MUJAWAR,2017,IK
B00LCH0LOU,Engineering Mathematics Vol 4 Mujawar,MUJAWAR,2017,IK
B00ERY82DM,Gruha Banga,SL BYRAPPA,2015,SAHITYA BANDARA
B00KCLEI0U,Kavalu,SL BYRAPPA,2015,SAHITYA BANDARA
B00LCH0NFW,Mathadana,SL BYRAPPA,2015,SAHITYA BANDARA
9789351865636,Grahana,SL BYRAPPA,2015,SAHITYA BANDARA
198098650,Sakshi,SL BYRAPPA,2015,SAHITYA BANDARA
817201659X,Sartha,SL BYRAPPA,2015,SAHITYA BANDARA
B00M4PNLN2,Parva,SL BYRAPPA,2015,SAHITYA BANDARA
B00M4PNLN5,Bhitti,SL BYRAPPA,2015,SAHITYA BANDARA
8190706306,Tabbaliyu Ninade Magane,SL BYRAPPA,2015,SAHITYA BANDARA
8192395502,Durgastamana,TA RA SU,2015,SAHITYA BANDARA
9382348077,Mankutimmana Kagga,D.V.G,2015,SAHITYA BANDARA
B00KYXY2QG,Ego Kannada,VENKATASUBBAIAH,2015,SAHITYA BANDARA
9352581083,Kanuru Hegadati,KUVEMPU,2015,SAHITYA BANDARA
8184673035,Manasu Mataditu,MANIKANT,2015,SAHITYA BANDARA
B00KYXTRYS,Ondu Jeevana Saladu,NAYAR,2015,SAHITYA BANDARA
B00KCLE8VO,Jaaruva Dariyalli,SIVARAMA KARANT,2015,SAHITYA BANDARA
8179662713,Anchu,SL BYRAPPA,2015,SAHITYA BANDARA
9788179925911,Essays On Current Topics,SARASWATI,2015,SURA
9788179925911,The Theory Of Everything,HAWAKING,2015,JAICO
1426209673,Napoleon,LUDWIG,2015,JAICO
143416871,Mana Manthana Shubachintana,PUTTURAYA,2015,
9780553175219,365 Days Of Inspiration,HILL,2015,JAICO
9780143416876,A Brief History Of Time,HAWAKING,2015,BANTAM
9789385854590,The Scientific Indian - Apj Abdul Kalam,RAJAN,2015,PENGUINE
9788120720206,Kailash Manasarovar,ANITA KARWAL,2015,
9788179929889,How To Develop Profitable Listening Skil,AHUJA,2015,STERLING
9788184956955,The Great Speeches Of Barack Obama,HARRISON,2015,JAICO
9788184958508,Mind Is Your Business/Body The Greatest,SADHUGUR,2015,JAICO
,Champions Of Science,HUDSON,2015,JAICO
978014342383,Sirisampige,KAMBARA,2015,ANKITA
9788172240912,India 2020,KALAM,2015,PUFFIN
9780143333548,Secrete Teaching Of The Vedas,KNAPP,2015,JAICO
9384883069,Reignite - Apj Abdul Kalam,SINGH,2015,PUFFIN
B07JMB2CGP,Badukalu Kaliyiri,JAGADTMANAND,2015,SAHITYA BANDARA
B07JMB3CGP,Hosagannada Sahitya Charitre,SHESGIRI RAO,2015,ANKITA
B07JMC3CGP,Naati Oshadi Mane Maddu,HEGDE,2015,SK
9788191065800,Kannada Kavimale,RAMANAND,2015,CHANDANA
9788184951332,Sarvajnana Vachanaglau,GANESH,2015,DESHI
9788131521403,Corporate Chanakya,PILLAI,2015,JAICO
9789386668479,English Language Communication Skills,KUMAR,2015,CENGAGE
,Constitution Of India Professiona Ethics,SINGLA,2015,CENGAGE
9788131533093,Maharshi Valmiki,SANKRANAND,2015,SK
9789386858733,Business Ethics Ferrell,FERRELL,2015,CENGAGE
9788121908689,Principles Of Leadership Dubrin,DUBRIN,2015,CENGAGE
9789325963474,A Tb Of Workshop Technology Gupta,GUPTA,2015,S CHAND
9788121924504,Operations Research Kalavathy,KALAVATHY,2015,VIKAS
9789388005050,Principles Of Electronics Mehta,MEHTA,2015,S CHAND
9789352533695,Electric Circuit Analysis Shivakumar,SHIVAKUMAR,2015,YESDEE
9789353066697,A Tb  Of Strength Of Materials Rajput,RAJPUT,2016,S CHAND
9789353066697,Machine Learning Dutt,DUTT;CHANDRAMOULI; KUMAR,2017,PEARSON
,,,,
